date,connect_code,rank,rating,wins,losses
2023-10-30 11:11:15.874949,BAWS#222,Silver 1,1080.58,98,124
2023-10-30 11:11:16.491837,LVLY#523,Silver 1,1100.00,0,0
2023-10-30 11:11:17.030843,MILK#665,Silver 1,1100.00,0,0
2023-10-30 11:11:17.515664,APPL#390,Silver 1,1100.00,0,0
2023-10-30 11:11:18.027867,MELK#467,Silver 1,1100.00,0,0
2023-10-30 11:11:18.642278,NTDY#433,Silver 1,1100.00,0,0
2023-10-30 11:11:19.256994,LAKE#777,Silver 2,1268.03,30,28
2023-10-30 11:11:20.178336,KHLR#380,Bronze 3,924.21,1,4
2023-10-30 11:11:20.840734,TRAS#806,Silver 1,1100.00,0,0
2023-10-30 11:11:21.406922,MELE#991,Silver 1,1100.00,0,0
2023-10-30 11:11:22.430539,BUH#212,Silver 1,1100.00,0,0
2023-10-30 11:11:23.452014,MULT#504,Bronze 3,984.23,0,3
2023-10-30 11:11:24.479259,GRBG#115,Silver 1,1100.00,0,0
2023-10-30 11:11:25.196188,JOZO#555,Bronze 3,1019.75,3,7
2023-10-30 11:11:26.731959,CARM#173,Silver 1,1100.00,0,0
2023-10-30 11:11:27.337110,SIM#207,Bronze 3,1041.47,76,112
2023-10-30 11:11:27.883569,PAPR#396,Bronze 2,779.19,20,49
2023-10-30 11:11:28.575196,LOLG#730,Bronze 1,627.06,2,18
2023-10-30 11:11:29.146150,NAWAK#0,Bronze 3,967.40,1,5
2023-10-30 11:11:29.959562,KARDIA#0,Silver 1,1100.00,0,0
2023-10-30 11:11:30.623127,DANE#404,Silver 1,1100.00,0,0
2023-10-30 11:11:31.647286,STU#895,Silver 1,1100.00,0,0
2023-10-30 11:11:32.364334,HUDD#889,Silver 1,1100.00,0,0
2023-10-30 11:11:32.975404,COTN#414,Bronze 3,941.17,11,20
2023-10-30 11:11:33.593302,CHIC#872,Silver 1,1100.00,0,0
2023-10-30 11:11:34.718724,WREN#0,Bronze 3,916.67,3,9
2023-10-30 11:11:35.433741,SCYY#550,Silver 1,1100.00,0,0
2023-10-30 11:11:36.050664,PRET#179,Silver 1,1100.00,0,0
2023-10-30 11:11:36.713094,RUBY#365,Bronze 1,712.66,21,75
2023-10-30 11:11:37.372865,LUCK#380,Silver 1,1100.00,0,0
2023-10-30 11:11:37.994417,LUKI#555,Silver 1,1100.00,0,0
2023-10-30 11:11:38.608929,TWO#836,Silver 1,1100.00,0,0
2023-10-30 11:11:40.624648,ESSE#766,Bronze 3,999.49,34,50
2023-10-30 11:11:41.375921,MOSS#817,Bronze 3,1006.08,2,6
2023-10-30 11:11:42.024145,TOMM#424,Silver 1,1100.00,0,0
2023-10-30 11:11:42.678950,PICK#902,Silver 1,1100.00,0,0
2023-10-30 11:11:43.627565,RT#705,Silver 1,1100.00,0,0
2023-10-30 11:11:44.157134,REAL#555,Silver 2,1201.77,35,32
2023-10-30 11:11:44.711135,NATE#237,Silver 3,1372.02,254,239
2023-10-30 11:11:45.306570,NEMO#140,Silver 1,1100.00,0,0
2023-10-30 11:11:45.988281,CHEM#451,Silver 1,1100.00,0,0
2023-10-30 11:11:46.594613,KTK#566,Silver 1,1187.72,25,33
2023-10-30 11:11:48.302335,DGAU#562,Bronze 3,1024.71,0,2
2023-10-30 11:11:49.535071,EYSH#625,Silver 1,1100.00,0,0
2023-10-30 11:11:50.284989,FLAR#366,Silver 1,1100.00,0,0
2023-10-30 11:11:51.977826,JORB#971,Silver 1,1100.00,0,0
2023-10-30 11:11:52.845075,PEE#794,Silver 1,1100.00,0,0
2023-10-30 11:11:53.459570,JSM#598,Silver 1,1100.00,0,0
2023-10-30 11:11:54.176405,ROAN#715,Bronze 3,1051.27,5,8
2023-10-30 11:11:56.019540,DIEG#0,Silver 2,1218.20,24,24
2023-10-30 11:11:57.658147,CAPT#871,Silver 2,1189.88,20,29
2023-10-30 11:11:58.532310,KET#995,Silver 1,1100.00,0,0
2023-10-30 11:11:59.396874,ULTB#282,Silver 1,1100.00,0,0
2023-10-30 11:12:00.013305,TOP#495,Silver 1,1100.00,0,0
2023-10-30 11:12:00.730166,MAV#901,Silver 1,1100.00,0,0
2023-10-30 11:12:01.345354,DJIB#581,Silver 1,1100.00,0,0
2023-10-30 11:12:01.959025,CARB#521,Silver 1,1100.00,0,0
2023-10-30 11:12:02.572396,MANT#648,Silver 1,1100.00,0,0
2023-10-30 11:12:03.188668,FALC#921,Silver 1,1103.13,8,14
2023-10-30 11:12:03.802591,CHEE#527,Silver 1,1100.00,0,0
2023-10-30 11:12:04.314312,NEOX#827,Bronze 3,970.47,0,3
2023-10-30 11:12:04.811853,MELO#800,Silver 1,1100.00,0,0
2023-10-30 11:12:05.440803,WLCH#829,Silver 1,1100.00,0,0
2023-10-30 11:12:06.055266,GUS#777,Silver 1,1100.00,0,0
2023-10-30 11:12:06.668806,DIRK#820,Bronze 3,967.60,18,27
2023-10-30 11:12:07.205966,ADNA#424,Bronze 3,988.77,26,45
2023-10-30 11:12:07.899348,ABU#830,Silver 1,1100.00,0,0
2023-10-30 11:12:08.513084,JMST#611,Silver 1,1102.59,4,7
2023-10-30 11:12:09.024981,YOUR#790,Bronze 2,838.68,5,19
2023-10-30 11:12:09.740278,MUFN#420,Bronze 3,987.23,8,18
2023-10-30 11:12:10.242554,LONG#624,Silver 1,1100.00,0,0
2023-10-30 11:12:10.735063,FANK#622,Silver 1,1100.00,0,0
2023-10-30 11:12:11.278611,FLIP#377,Bronze 3,1018.37,384,461
2023-10-30 11:12:11.788889,EROS#769,Silver 1,1100.00,0,0
2023-10-30 11:12:12.506741,SHIN#983,Silver 1,1100.00,0,0
2023-10-30 11:12:13.015137,FISH#435,Silver 1,1100.00,0,0
2023-10-30 11:12:13.652429,VEST#379,Silver 1,1100.00,0,0
2023-10-30 11:12:14.163791,CODE#829,Silver 1,1100.00,0,0
2023-10-30 11:12:14.760079,LITH#504,Silver 1,1093.45,63,73
2023-10-30 11:12:15.254810,PLUM#516,Bronze 1,314.71,26,419
2023-10-30 11:12:15.783350,IMEO#658,Silver 1,1100.00,0,0
2023-10-30 11:12:16.404911,JOEC#924,Silver 1,1100.00,0,0
2023-10-30 11:12:16.909954,BRAD#102,Silver 1,1100.00,0,0
2023-10-30 11:12:17.523333,DJST#619,Silver 1,1100.00,0,0
2023-10-30 11:12:18.137683,CAPN#230,Silver 1,1100.00,0,0
2023-10-30 11:12:18.650858,KMCE#631,Silver 1,1100.00,0,0
2023-10-30 11:12:19.265739,VAPO#333,Silver 1,1100.00,0,0
2023-10-30 11:12:19.881376,RBID#766,Silver 1,1100.00,0,0
2023-10-30 11:12:20.409074,KDUB#184,Silver 1,1100.00,0,0
2023-10-30 11:12:21.006337,LEO#570,Silver 1,1100.00,0,0
2023-10-30 11:12:21.723867,NOVA#242,Silver 1,1100.00,0,0
2023-10-30 11:12:22.235052,WETH#305,Silver 1,1100.00,0,0
2023-10-30 11:12:22.745425,HONK#560,Silver 1,1100.00,0,0
2023-10-30 11:12:23.358300,SUK#474,Bronze 3,1027.54,118,182
2023-10-30 11:12:23.976871,FRIX#877,Bronze 2,896.58,14,29
2023-10-30 11:12:24.488510,DOOF#704,Silver 1,1100.00,0,0
2023-10-30 11:12:25.102306,RTRO#895,Silver 1,1100.00,0,0
2023-10-30 11:12:25.614352,GRIT#859,Bronze 1,501.06,2,40
2023-10-30 11:12:26.228938,CRS#244,Silver 1,1100.00,0,0
2023-10-30 11:12:27.559961,ASWW#595,Silver 1,1100.00,0,0
2023-10-30 11:12:29.915437,SMIT#423,Silver 1,1100.00,0,0
2023-10-30 11:12:31.758716,FIRE#229,Silver 1,1100.00,0,0
2023-10-30 11:12:35.242123,SADD#302,Silver 1,1100.00,0,0
2023-10-30 11:12:38.382808,GSAN#552,Gold 2,1611.90,40,32
2023-10-30 11:12:39.439190,BANA#559,Silver 2,1215.22,15,18
2023-10-30 11:12:40.562904,YO#625,Silver 2,1222.97,72,106
2023-10-30 11:12:41.386147,JEEM#612,Silver 1,1100.00,0,0
2023-10-30 11:12:42.407131,RAGH#939,Silver 1,1100.00,0,0
2023-10-30 11:12:42.990118,BLAZ#185,Silver 1,1100.00,0,0
2023-10-30 11:12:43.637363,FLUF#159,Bronze 2,890.94,22,39
2023-10-30 11:12:43.994443,ALEC#239,,,,
2023-10-30 11:12:44.547809,TBSC#365,Silver 1,1100.00,0,0
2023-10-30 11:12:45.071080,AMIR#388,Silver 1,1100.00,0,0
2023-10-30 11:12:45.685217,PHIL#215,Silver 1,1100.00,0,0
2023-10-30 11:12:46.427862,SUNG#900,Bronze 3,1020.01,5,9
2023-10-30 11:12:47.016706,HERC#546,Silver 1,1100.00,0,0
2023-10-30 11:12:47.835914,SQCH#374,Silver 1,1100.00,0,0
2023-10-30 11:12:48.655358,TWOT#907,Silver 1,1100.00,0,0
2023-10-30 11:12:49.957117,WCBQ#653,Silver 3,1338.25,169,166
2023-10-30 11:12:51.259799,JOE#829,Bronze 3,987.91,5,9
2023-10-30 11:12:52.034464,YUCK#520,Silver 1,1100.00,0,0
2023-10-30 11:12:52.751317,ZAY#631,Silver 1,1100.00,0,0
2023-10-30 11:12:54.082487,MAP#324,Silver 1,1100.00,0,0
2023-10-30 11:12:55.004281,SCRI#920,Silver 1,1100.00,0,0
2023-10-30 11:12:55.743361,SAM#187,Silver 1,1100.00,0,0
2023-10-30 11:12:56.597272,BANG#745,Silver 1,1100.00,0,0
2023-10-30 11:12:57.871433,JOLT#354,Silver 1,1100.00,0,0
2023-10-30 11:12:58.690702,ASHR#346,Silver 1,1100.00,0,0
2023-10-30 11:12:59.301903,BIGB#870,Silver 1,1100.00,0,0
2023-10-30 11:13:00.039180,MARI#691,Silver 1,1100.00,0,0
2023-10-30 11:13:00.533445,JGRY#355,Silver 1,1072.45,19,26
2023-10-30 11:13:01.045750,COCK#766,Silver 1,1100.00,0,0
2023-10-30 11:13:01.660447,KJKJ#563,Bronze 3,988.51,0,2
2023-10-30 11:13:02.175640,RBAB#937,Bronze 3,925.89,20,34
2023-10-30 11:13:02.659504,NOOB#314,Silver 1,1100.00,0,0
2023-10-30 11:13:03.180962,ZOSO#194,Silver 1,1100.00,0,0
2023-10-30 11:13:03.810925,BLUF#432,Silver 1,1100.00,0,0
2023-10-30 11:13:04.525070,JMEL#978,Silver 1,1100.00,0,0
2023-10-30 11:13:05.039768,NEW#237,Silver 1,1100.00,0,0
2023-10-30 11:13:05.551888,DES#651,Silver 1,1100.00,0,0
2023-10-30 11:13:06.424626,CUZL#185,Silver 1,1100.00,0,0
2023-10-30 11:13:06.986582,CHEX#850,Silver 1,1100.00,0,0
2023-10-30 11:13:07.599773,TIGE#523,Silver 1,1100.00,0,0
2023-10-30 11:13:08.111810,MESI#900,Silver 1,1100.00,0,0
2023-10-30 11:13:08.726201,LOUG#120,Bronze 3,948.19,1,7
2023-10-30 11:13:09.237542,WWJ#765,Bronze 3,985.14,35,55
2023-10-30 11:13:09.601141,NEO#754,,,,
2023-10-30 11:13:10.160083,GUM#355,Silver 1,1133.02,317,379
2023-10-30 11:13:10.774509,SILE#228,Silver 1,1100.00,0,0
2023-10-30 11:13:11.508052,JIGK#299,Bronze 3,1019.85,2,6
2023-10-30 11:13:11.993851,RAT#160,Silver 1,1100.00,0,0
2023-10-30 11:13:12.617495,GED#411,Silver 1,1100.00,0,0
2023-10-30 11:13:13.334682,ABAP#560,Silver 1,1100.00,0,0
2023-10-30 11:13:13.949417,SLG#582,Silver 1,1100.00,0,0
2023-10-30 11:13:14.602168,TAKI#144,Bronze 2,837.41,2,11
2023-10-30 11:13:15.382254,CLTR#587,Silver 1,1100.00,0,0
2023-10-30 11:13:16.099387,JMBO#355,Bronze 3,923.53,8,17
2023-10-30 11:13:16.844743,CHAN#334,Silver 1,1100.00,0,0
2023-10-30 11:13:17.428042,TOOMEH#0,Silver 1,1100.00,0,0
2023-10-30 11:13:17.942688,BEEG#203,Bronze 1,610.35,0,16
2023-10-30 11:13:18.454612,BIGP#768,Bronze 2,911.49,70,125
2023-10-30 11:13:18.966737,HAPY#206,Bronze 2,841.44,4,12
2023-10-30 11:13:19.477584,ADMI#350,Silver 1,1117.77,16,25
2023-10-30 11:13:20.059688,SHIK#341,Silver 1,1100.00,0,0
2023-10-30 11:13:20.707154,XDUB#923,Silver 1,1100.00,0,0
2023-10-30 11:13:21.235287,SEAM#188,Bronze 3,915.04,16,52
2023-10-30 11:13:21.833717,POKI#639,Silver 1,1100.00,0,0
2023-10-30 11:13:22.550642,DRSA#278,Silver 1,1100.00,0,0
2023-10-30 11:13:23.062952,JABL#508,Silver 1,1187.27,59,73
2023-10-30 11:13:23.571693,LILP#713,Silver 1,1100.00,0,0
2023-10-30 11:13:24.189357,COCO#432,Silver 1,1100.00,0,0
2023-10-30 11:13:24.688538,KI#256,Silver 1,1100.00,0,0
2023-10-30 11:13:25.276579,YIKE#273,Silver 1,1100.00,0,0
2023-10-30 11:13:25.827836,RAGE#999,Bronze 3,1016.10,11,19
2023-10-30 11:13:26.339809,DIOR#414,Bronze 3,947.19,9,16
2023-10-30 11:13:27.056621,THIC#733,Silver 1,1100.00,0,0
2023-10-30 11:13:27.670909,HACH#220,Bronze 3,1034.72,11,18
2023-10-30 11:13:28.313795,THOU#759,Bronze 3,1024.48,0,2
2023-10-30 11:13:28.900576,MYTH#697,Bronze 3,950.24,0,4
2023-10-30 11:13:29.514508,CARM#665,Bronze 1,588.78,0,21
2023-10-30 11:13:30.330340,SARI#155,Silver 1,1100.00,0,0
2023-10-30 11:13:31.251980,BLUEM#30,Silver 1,1100.00,0,0
2023-10-30 11:13:31.869593,OUI#661,Silver 1,1100.00,0,0
2023-10-30 11:13:32.586399,JESU#344,Silver 1,1100.00,0,0
2023-10-30 11:13:33.473638,MARA#856,Silver 1,1104.83,1,2
2023-10-30 11:13:34.241882,EDP#445,Bronze 3,925.36,4,12
2023-10-30 11:13:34.839335,LATY#526,Silver 1,1100.00,0,0
2023-10-30 11:13:35.658128,BURN#321,Silver 1,1159.69,16,28
2023-10-30 11:13:36.273108,HSG#579,Silver 1,1100.00,0,0
2023-10-30 11:13:36.887413,ATLA#179,Silver 1,1100.00,0,0
2023-10-30 11:13:37.604232,JCOR#267,Silver 1,1155.53,5,9
2023-10-30 11:13:38.321098,DAWN#560,Silver 1,1100.00,0,0
2023-10-30 11:13:39.264565,JUH#844,Silver 1,1100.00,0,0
2023-10-30 11:13:40.163125,CASS#555,Silver 1,1100.00,0,0
2023-10-30 11:13:41.086001,AKA#111,Bronze 3,928.36,10,18
2023-10-30 11:13:41.700361,NOAH#822,Silver 1,1100.00,0,0
2023-10-30 11:13:42.416948,ZACH#882,Bronze 2,813.99,3,15
2023-10-30 11:13:43.338766,RUST#783,Silver 1,1100.00,0,0
2023-10-30 11:13:44.056435,UPG#199,Diamond 1,2020.02,976,965
2023-10-30 11:13:44.669838,MEEP#124,Silver 1,1100.00,0,0
2023-10-30 11:13:45.184651,IGGI#343,Bronze 2,797.10,4,12
2023-10-30 11:13:45.796361,BRUS#217,Bronze 3,956.48,33,50
2023-10-30 11:13:46.513696,CHED#171,Silver 1,1100.00,0,0
2023-10-30 11:13:47.127704,UX#66,Silver 1,1100.00,0,0
2023-10-30 11:13:47.639901,BOOB#494,Silver 1,1100.00,0,0
2023-10-30 11:13:48.151717,BEE#000,Silver 1,1100.00,0,0
2023-10-30 11:13:48.646484,YAAG#618,Silver 1,1100.00,0,0
2023-10-30 11:13:49.685166,SUP#105,Silver 1,1100.00,0,0
2023-10-30 11:13:50.302540,HOWL#506,Silver 1,1138.66,7,11
2023-10-30 11:13:50.916410,WAKE#168,Silver 2,1291.25,158,155
2023-10-30 11:13:51.275356,RYGY#716,,,,
2023-10-30 11:13:51.838636,CC#219,Silver 1,1100.00,0,0
2023-10-30 11:13:52.452821,XVX#389,Silver 1,1111.44,3,6
2023-10-30 11:13:52.965328,SNAL#496,Silver 1,1065.39,37,51
2023-10-30 11:13:53.579356,NAPA#121,Silver 1,1100.00,0,0
2023-10-30 11:13:54.195535,THIC#479,Silver 1,1100.00,0,0
2023-10-30 11:13:54.701896,NAN#0,Silver 1,1098.27,9,15
2023-10-30 11:13:55.057733,MUFN#400,,,,
2023-10-30 11:13:55.572519,RIN#564,Bronze 3,1020.45,8,18
2023-10-30 11:13:56.139069,PNOK#154,Silver 1,1100.00,0,0
2023-10-30 11:13:56.490760,ELDR#853,,,,
2023-10-30 11:13:57.061015,IJET#230,Silver 1,1100.00,0,0
2023-10-30 11:13:57.675387,DAVD#282,Silver 1,1100.00,0,0
2023-10-30 11:13:58.290966,BREN#985,Silver 1,1100.00,0,0
2023-10-30 11:13:58.801987,SWAT#943,Silver 1,1100.00,0,0
2023-10-30 11:13:59.416339,SQUA#816,Silver 1,1100.00,0,0
2023-10-30 11:14:00.133046,GOLD#129,Bronze 3,937.70,1,6
2023-10-30 11:14:00.849863,MAND#908,Silver 1,1100.00,0,0
2023-10-30 11:14:01.329022,PABL#994,Silver 1,1100.00,0,0
2023-10-30 11:14:02.238402,OSCR#532,Silver 1,1100.00,0,0
2023-10-30 11:14:02.795495,BOYO#201,Silver 1,1100.00,0,0
2023-10-30 11:14:03.307279,JG#144,Bronze 3,1013.14,0,4
2023-10-30 11:14:03.922102,BIGB#320,Silver 1,1100.00,0,0
2023-10-30 11:14:04.536485,TOOT#703,Silver 1,1100.79,3,6
2023-10-30 11:14:05.150801,BAMA#408,Silver 1,1105.66,25,34
2023-10-30 11:14:05.662460,IDIO#487,Silver 1,1100.00,0,0
2023-10-30 11:14:06.425203,RLND#879,Silver 1,1112.43,11,17
2023-10-30 11:14:07.404268,AL#256,Silver 3,1404.21,334,334
2023-10-30 11:14:08.009730,ACE#572,Silver 1,1100.00,0,0
2023-10-30 11:14:08.632537,CAT#483,Bronze 3,1034.39,8,12
2023-10-30 11:14:09.346512,STAY#714,Silver 1,1059.02,27,32
2023-10-30 11:14:10.068122,PATS#530,Silver 1,1100.00,0,0
2023-10-30 11:14:10.701934,NAZT#344,Silver 1,1100.00,0,0
2023-10-30 11:14:11.397211,KING#653,Silver 1,1100.00,0,0
2023-10-30 11:14:12.011936,SNIF#710,Silver 2,1249.82,34,36
2023-10-30 11:14:13.281015,EPIE#421,Silver 1,1100.00,0,0
2023-10-30 11:14:13.957699,SKAN#720,Silver 1,1185.72,42,45
2023-10-30 11:14:14.716283,TAG#855,Silver 1,1100.00,0,0
2023-10-30 11:14:15.391044,GOOB#517,Silver 1,1100.00,0,0
2023-10-30 11:14:15.948798,DANG#176,Silver 1,1100.00,0,0
2023-10-30 11:14:16.619969,WEXO#119,Silver 1,1100.00,0,0
2023-10-30 11:14:17.131871,MOO#682,Silver 1,1100.00,0,0
2023-10-30 11:14:17.747587,DOMS#676,Silver 1,1100.00,0,0
2023-10-30 11:14:18.360930,SIDE#147,Silver 1,1100.00,0,0
2023-10-30 11:14:18.873202,ANDR#490,Silver 1,1100.00,0,0
2023-10-30 11:14:19.351250,ERIK#995,Silver 1,1100.00,0,0
2023-10-30 11:14:19.896652,RIOT#579,Silver 1,1066.32,1,3
2023-10-30 11:14:20.819563,DEXO#410,Silver 1,1100.00,0,0
2023-10-30 11:14:21.311897,PRUG#425,Silver 1,1106.37,28,34
2023-10-30 11:14:21.843856,FIGG#767,Silver 1,1100.00,0,0
2023-10-30 11:14:22.354384,FISH#199,Bronze 1,635.71,0,14
2023-10-30 11:14:22.867717,PTF#185,Silver 1,1100.00,0,0
2023-10-30 11:14:23.477620,EURO#646,Silver 2,1197.99,21,28
2023-10-30 11:14:24.095557,SCRN#1,Silver 1,1100.00,0,0
2023-10-30 11:14:24.709999,SPLI#105,Silver 1,1100.00,0,0
2023-10-30 11:14:25.320869,JUMA#256,Silver 1,1100.00,0,0
2023-10-30 11:14:26.014356,HOWA#471,Bronze 3,1040.71,0,1
2023-10-30 11:14:26.553196,AWES#129,Silver 1,1100.00,0,0
2023-10-30 11:14:27.167168,MARI#653,Silver 1,1100.00,0,0
2023-10-30 11:14:27.782177,DEND#885,Silver 1,1100.00,0,0
2023-10-30 11:14:28.601028,CY#297,Silver 3,1347.27,36,35
2023-10-30 11:14:29.420470,SKNO#995,Silver 1,1100.00,0,0
2023-10-30 11:14:30.137397,BARN#753,Silver 1,1100.00,0,0
2023-10-30 11:14:31.059915,JUMP#970,Silver 3,1345.52,97,103
2023-10-30 11:14:31.878211,WOLF#268,Silver 1,1100.00,0,0
2023-10-30 11:14:32.697526,HCHI#939,Bronze 2,822.70,22,60
2023-10-30 11:14:33.309299,LORD#916,Silver 1,1100.00,0,0
2023-10-30 11:14:33.979596,PUDI#946,Bronze 3,983.58,5,11
2023-10-30 11:14:35.156622,BEAC#727,Silver 1,1100.00,0,0
2023-10-30 11:14:35.768881,HPGG#959,Silver 1,1100.00,0,0
2023-10-30 11:14:36.486049,JOOW#349,Silver 1,1061.80,5,9
2023-10-30 11:14:37.204391,LILR#192,Silver 1,1056.10,39,48
2023-10-30 11:14:37.920117,SUDO#454,Silver 1,1100.00,0,0
2023-10-30 11:14:38.534549,BRAD#515,Bronze 1,763.84,3,17
2023-10-30 11:14:39.149147,PORK#750,Silver 1,1100.00,0,0
2023-10-30 11:14:39.644038,ROBO#728,Silver 1,1100.00,0,0
2023-10-30 11:14:40.276496,RAGE#147,Silver 1,1100.00,0,0
2023-10-30 11:14:40.889806,CWED#185,Silver 1,1100.00,0,0
2023-10-30 11:14:41.606562,DINI#549,Bronze 3,989.98,5,12
2023-10-30 11:14:42.221051,PILO#957,Silver 1,1055.54,1,3
2023-10-30 11:14:42.938132,LILG#997,Silver 1,1100.00,0,0
2023-10-30 11:14:43.552172,LOGI#898,Silver 1,1100.00,0,0
2023-10-30 11:14:44.167560,BORD#753,Silver 1,1100.00,0,0
2023-10-30 11:14:44.780773,DOCT#249,Silver 1,1100.00,0,0
2023-10-30 11:14:45.258632,DEAD#647,Silver 1,1100.00,0,0
2023-10-30 11:14:45.922908,HENC#618,Silver 1,1100.00,0,0
2023-10-30 11:14:46.522042,HOTB#519,Silver 1,1129.05,27,37
2023-10-30 11:14:47.027698,LEWI#936,Bronze 3,916.40,0,4
2023-10-30 11:14:47.546107,SAMB#110,Silver 1,1100.00,0,0
2023-10-30 11:14:48.058565,WEES#600,Silver 1,1100.00,0,0
2023-10-30 11:14:48.672541,CHEE#699,Silver 1,1100.00,0,0
2023-10-30 11:14:49.184720,ROM#109,Silver 1,1100.00,0,0
2023-10-30 11:14:49.799091,PURP#549,Silver 1,1100.00,0,0
2023-10-30 11:14:50.413248,CHKN#711,Silver 1,1100.00,0,0
2023-10-30 11:14:51.130137,GUL#256,Silver 1,1100.00,0,0
2023-10-30 11:14:51.602656,RAVE#739,Silver 1,1100.00,0,0
2023-10-30 11:14:52.154350,SAUC#762,Silver 1,1100.00,0,0
2023-10-30 11:14:52.870912,PUSS#877,Bronze 1,693.99,3,22
2023-10-30 11:14:53.485284,DETH#710,Silver 1,1100.00,0,0
2023-10-30 11:14:54.407140,MONK#133,Silver 1,1100.00,0,0
2023-10-30 11:14:55.123508,RIFT#711,Bronze 3,985.30,2,8
2023-10-30 11:14:55.739170,JWAD#244,Silver 1,1100.00,0,0
2023-10-30 11:14:56.558166,BIRD#804,Silver 1,1100.00,0,0
2023-10-30 11:14:57.451501,ZFOX#975,Silver 1,1100.00,0,0
2023-10-30 11:14:58.299447,WAFF#231,Bronze 3,948.12,119,181
2023-10-30 11:14:59.824122,SHEL#548,Silver 1,1100.00,0,0
2023-10-30 11:15:00.449158,BULL#533,Silver 1,1100.00,0,0
2023-10-30 11:15:01.063198,SIRS#204,Silver 1,1134.42,5,8
2023-10-30 11:15:01.781273,GULA#979,Silver 1,1100.00,0,0
2023-10-30 11:15:02.513532,ASPH#127,Silver 1,1100.00,0,0
2023-10-30 11:15:03.316636,KAI#131,Silver 1,1100.00,0,0
2023-10-30 11:15:03.864574,NEWP#265,Silver 1,1100.00,0,0
2023-10-30 11:15:04.647521,FLOP#143,Silver 1,1100.00,0,0
2023-10-30 11:15:05.466899,AVE#777,Silver 2,1277.95,48,55
2023-10-30 11:15:06.048330,DADH#106,Silver 1,1100.00,0,0
2023-10-30 11:15:06.796180,JAED#367,Silver 1,1100.00,0,0
2023-10-30 11:15:07.470232,DISA#777,Silver 1,1100.65,3,7
2023-10-30 11:15:08.177176,BLUE#748,Silver 1,1100.00,0,0
